Q,A
 지상파 사 조건 부 재 허가 반대,문화_예술_체육_언론
 모든 장애인 취업 인 이상 등 단속,일자리
 문재인 대통령 해직 공무원 복직 약속 이행 청원,인권_성평등
 보험 설계 사의 권익 위해 표준 위촉 계약서 재정 개정 보험 회사 갑질 피해,경제민주화
 스텔싱 공론 스텔싱 성폭력 범죄 처벌 청원,인권_성평등
 가정폭력 피해자 독립시 보호 수 등본 열람 제한,인권_성평등
 종교인 특혜 소득 세법 시행 령 개정안 폐기 정의 부합 종교인 과세,경제민주화
 어회 강사 무기 계약 전환,육아_교육
 길고양이 급식 소 설치,반려동물
 자살 등 최소한 가이드라인 언론사 법적 제재,문화_예술_체육_언론
 학교폭력 중학교 집단 폭력 가해자 처벌,안전_환경
 청와대 자단 해체,문화_예술_체육_언론
 공공시설 사용 허가 불법 취소,행정
 조두순 후 감시 및 거주지 한정 제도 관해 건의,안전_환경
 풍납동 정비 사업 권역 보상 문제,안전_환경
 엔진 엔진오일 감소 현상 조사 및 조사 과정 공론,교통_건축_국토
 군초 장교 출신 별 불평등,외교_통일_국방
 산자부 디스플레이 중국 공장,기타
 감염 관리 전문 임상병리사 제도 필요성,보건복지
 맞춤 보육 폐지 요청,육아_교육
 장충 체육관 사용 허가 불법 취소 엄정 취,행정
 공공시설 장충 체육관 사용 허가 불법 치소 대해 엄정 조치 시기,문화_예술_체육_언론
 공공시설 장충 체육관 사용 허가 불법 취소 대해 엄정 조치,문화_예술_체육_언론
 국가 유공 보훈급,기타
 조두순 소전 흉악 범 소전 재 법,인권_성평등
 대한민국 서비스업 정규 휴무 및 영업 시간 단축,보건복지
 적폐 댕 상담 서비스 핵삼 시간제 청소년 동반 정체 회복 위해 제안,보건복지
 산업부 장관 직권남용 조사 청원,성장동력
 디스플레이 시간,성장동력
 악플러 강력 처벌 법,인권_성평등
 난임 바 처 도입 절실,저출산_고령화대책
 영어 회화 전문 강사 내년 신규 채용 불가 대해 대답,일자리
 어린이집 항 공개 의무,육아_교육
 육아휴직 법 개정,저출산_고령화대책
 부동산 수수료,교통_건축_국토
 공공시설 장충 체육관 사용 허가 불법 취소 대한 조사,문화_예술_체육_언론
 제 아들 좀,보건복지
 초등학교 담벼락 옆 이단 종교 신천지 요청,육아_교육
 대학병원 새벽 레지던트 오진 분만 사고,보건복지
 지진 발생 지역 피해 어린이집 지원 대책,육아_교육
 기사 제목 피해자 개인정보 수,인권_성평등
 주식 주주 도세 프로 부과 법,미래
 방과후 영어 수업 금지 철회,육아_교육
 소년법 폐지 다시 청원,안전_환경
 파출소 근무 사망 경찰관 순직 처리,보건복지
 재난 발생 시 반려동물 대피 공간 마련,안전_환경
 국기원 및 태권도 개혁 대한 청원,문화_예술_체육_언론
 전쟁 참전 노병 호소,외교_통일_국방
 남자 프로배구 재경기 요구,문화_예술_체육_언론
 동물원 내의 동물 관 복지 증진,보건복지
 충청남도 전라북도 관문 동백 대교 교차로,안전_환경
 흥덕 역 설치 기획재정부 용인시 흥덕 역 설치 비용 전가,교통_건축_국토
 비정규직 정규직 전환 대해 관심,일자리
 행 초 투신 청원 글 삭제,육아_교육
 국민 탄저균 백신 이용 수,보건복지
 서산시 알루미늄 공장화재 피해,안전_환경
 장애 인증 발급 허가 시오,인권_성평등
 숙박시설 모텔 건축 허가 시 교육 환경보호 구역 어린이집 학원 포함 금지 규정,육아_교육
 누구 위 평가 인증,육아_교육
 행 초 투신 청원 글 삭제 복구,육아_교육
 의료 과실 구조 위 제도 개선,보건복지
 여성 안심 용 임대주택 정책 폐지 청원,보건복지
 백혈병 이식 의료 절차,보건복지
 서산 산 폐장 한번 관심,안전_환경
 공인 노무사 제도 개편,행정
 방문 인력 공개 채용 인력 기회,일자리
 주휴수당 최저 시급 포함,미래
 의료 기술 비급 여항 목도 보건복지부 검증 후 성형 외과 상용 의료법 개정,보건복지
 어린이집 상시 카메라 설치 법 제화,육아_교육
 행 초 투신 소년법 폐지,육아_교육
 공매도 폐지,기타
 성남시 수진 및 시가지 전면 철거 재개발,교통_건축_국토
 만덕 터널 국책 사업 수 법대 해,교통_건축_국토
 양육비 지급 애기 아빠,육아_교육
 체육 특기 대입 전형 비리 조사,문화_예술_체육_언론
 어린이집 를 부모 경우 언제 열람,육아_교육
 사회 복무 요원 적체 현상 해소,미래
 도서관 기간 제 근로자 정규직 전환 채용,문화_예술_체육_언론
 고양시 제설 작업 이건 국민 안전 위협,안전_환경
 주식 주주 도세 해당 범위 축소 국내 증시,미래
 제주 시청 비정규직 환경미화원 해고,일자리
 호선 환승역 내 개통 복선 승강장,교통_건축_국토
 국기원 및 태권도 개혁 빙자 음해 세력 척결 청원,문화_예술_체육_언론
 방사선사 협회 운영 실태 감사 형태,보건복지
 댓글알바 단 네이버 조사,기타
 타워 크레인 노총 종자 불법행위 건설 사 고발 남발 행위 근절,안전_환경
 현장 근로자 상여금,일자리
 소방차 출동 불법 주차 차량 손상 소방관 책임,안전_환경
 청원 글 경찰 시험 일정 변경 요청,일자리
 인터넷 판매 사기,기타
 중소기업 연차 문제 출산휴가 및 육아휴직 대하,미래
 전주 서곡 중학교 자살 사건,미래
 초등학생 미래,안전_환경
 소방차 출동 과정 다른 차량 물 피해 면책 방안 마련,안전_환경
 유치원 외국어 금지 반대,육아_교육
 위험 직무 수행 중 사망 경찰관 소방관 순직 심사 관련 제도 개선,안전_환경
 불법 차로 소방차 출동 지연 시 주차 차량 강제 이동 및 파손 시 소방 책임 면제,안전_환경
 저희 가족 보금자리 곳 요,교통_건축_국토
 유치원 방과후 영어 수업 폐지 반대,육아_교육
 판사 판결 대한 책임 제,행정
 문재인 탄핵 전 하야,정치개혁
 화재 긴급 출동 시 소방관 면책특권,안전_환경
 사건 조사 가해자 피해자,보건복지
 유치원 하원시 개선,육아_교육
 학교 운동 부 지도자 무기 계약 전환,문화_예술_체육_언론
 소방차 화재 진압시 불법 주차 파손 정당화 청원,안전_환경
 미성년 술 담배 입시 처벌,기타
 미세먼지 로부터 우리 국민,외교_통일_국방
 시민 영웅 소방관 처우 개선,보건복지
 가사 법 개정,육아_교육
 건설 대기업 하도급 임금 문제 개선,기타
 육아 종합 지원 센터 소속 보육 대체 교사 중요성 대우,육아_교육
 업 비트 신규 회원 거래,미래
 강원도 원주시 폐기물 발전소 가동 중단 및 착공 취소 요구,안전_환경
 베트남전 참전 한국 민간인 학살 성범죄 대한 식사 진상 조사배 및 교과서 수록 요청,인권_성평등
 애견 카페 애견샵 등 반려견 유통 및 식품 법 강화,반려동물
 안양 초등학교 환경문제,안전_환경
 보육 교사 유치원교사 평준화,육아_교육
 김포 한강 신도시 서울 출퇴근 교통 망 개선 요청,교통_건축_국토
 소방 및 위급 차량 대한 손해배상,교통_건축_국토
 전북대 의대 생 희생 서남대 의대 생 편입 반대,행정
 전안 법 폐지,경제민주화
 지금 국가 진실 화해 위원회 동아 사태 대한 결정 이행 위 합당 조치 취하 실 때,인권_성평등
 청와대 인사 탄저균 항체 검사 부탁,보건복지
 초헌 법적 헌법재판 헌법재판관 탄핵 청원,인권_성평등
 대리 운전 기사 수수료 현실,일자리
 거제 대우조선 직영 회사 입,인권_성평등
 위장 행사 및 허위 단체 국민 안전 위해 즉각 처벌 동의,안전_환경
 대한민국 위해 무자격 인정 기술자 제도 더 이상 방치,교통_건축_국토
 현대 기아 게이트 국토부 일 집세 자동차 관리,교통_건축_국토
 임신 임신,저출산_고령화대책
 길고양이 학대 처벌,반려동물
 대한민국 교육 민주화 위 후원 요청,육아_교육
 기자 해외 연수 기업 후원 금지,문화_예술_체육_언론
 대우조선,기타
 고형 비누 왁스 채 화장품 법 관 중단,행정
 공인 중개사 자격시험 제도 개선 방안 수립 요청,행정
 공인 중개사 자격시험 제도 개선 방안 수립 요청,교통_건축_국토
 홍준표 대표 위증죄 처벌,정치개혁
 전안 법 남매 엄마 저 곧 범죄자,정치개혁
 케어 핵심 의료 인프라 구축 시오,보건복지
 신분당선 북부 연장 송 고양 시청 식사동 풍동 중산동,교통_건축_국토
 석수동 현 초등학교 근처 아스콘 회사,안전_환경
 사람 먼저 방송사 드라마 촬영 환경 개선,문화_예술_체육_언론
 캣맘 보호 정부 차원 죽음 동물보호 소,기타
 스타 필드 안성,기타
 여성가족부 폐지 직,기타
 장자연 사건 대한 가해자 대한 처벌 요,인권_성평등
 장자연 재 수사 청원,인권_성평등
 저출산 해결 위해 산부인과 진료 보험,저출산_고령화대책
 전안 법 폐지,육아_교육
 전안 법 반대,미래
 전안 법,육아_교육
 항공사 출항 지연 한계 선 법규,교통_건축_국토
 원전 수출 장려 및 미래세 에너지정책 청원,성장동력
 건설 현장 모든 노동자 주 근무 주 노동시간 준수,보건복지
 공인 중개사 자격 제한,일자리
 특수 아동 대한 지원,육아_교육
 다이소 인민공화국,일자리
 포항 지열발전소 폐쇄,안전_환경
 대형 교회 재정 장부 열람 의무 오정현 법 제도 추진 제안,기타
 공인 중개사 자격시험 제도 개선 방안 수립 요청,교통_건축_국토
 간호조무사 보수 교육 폐지,보건복지
 영어 방과후 폐지 반대,미래
 국민 안전 생명 위협 적폐,교통_건축_국토
 어린이집 영어 수업 못,육아_교육
 사립 유치원 교사 급여 보장,육아_교육
 서울 성북구 장위 구역 재개발 대한 청원,교통_건축_국토
 전안 법 개정,일자리
 어린이집 영어 수업 아이 놀이 시간,육아_교육
 금융 위원장 이건,경제민주화
 펫샵 분양 그 외 모든 동물 매매 금지,반려동물
 홍준표 성완종 리스트 재 수사 촉구,정치개혁
 잉클 영어 프로그램 종영 반대,기타
 여러분 급여 꼼수 로부터,일자리
 가상 화폐 세금 부과 대하,미래
 수원시 자원 회수 시설 소각 사용 기한 연장 대한 주민 동의 실시,안전_환경
 간호조무사 자격 신고,보건복지
 소방차 진입,행정
 유아 외국어 교육 금지 정책 폐지 요청 및 유럽 선진국 다양성 위 외국어 교육 조기 시행 요구,육아_교육
 어린이집 평가 인증 서류 폐지,보건복지
 초등 방과후 영어 수업 어린이집 유치원 영어 수업 금지 정책 다시 생각 부탁,육아_교육
 국민 상대로 내기 제안 투기 금융감독원장 최흥 해임 촉구,경제민주화
 조혈모세포 이식 후 부작용 이식편대숙주병 치료 약 대한 보험 급여 확대,보건복지
 사설 구미 사랑 유기견 보호 소 계속 운영,반려동물
 공휴일 폐지 청원 모든 국민 휴일 개정 요청,보건복지
 가상 화폐 규제 반대 정부 국민 단 한번 꿈 해 본적,성장동력
 유치원 어린이집 영어 교육 금지 철회,육아_교육
 유치원 어린이집 영어 교육 금지 당장 철회,육아_교육
 용산 초 어린이 안전 위협 청년 주택 공사,안전_환경
 전국 국 공립 조교 생존권 보장 위 법령 정비 요청,일자리
 삼척 포스 파워 석탄 화력발전 백지,안전_환경
 이야기 방영 충주 경찰서 박철 사건,기타
 행 초등학교 투신 진실,육아_교육
 의무 기록 사 국가고시 대해,미래
 인천공항 노동자,인권_성평등
 유치원 일반 정책 백지,육아_교육
 서남대 의대 생 원광대 특별 편입 결사 반대,육아_교육
 차 병원 입원 관련,보건복지
 위험 직무 수행 사망 경찰관,보건복지
 간호조무사 협회 운영 실태 조사,보건복지
 연차 유명무실 법정공휴일 연차 대체,기타
 가짜 뉴스 처벌 법 언론사 포털 등 적용 법 시오,문화_예술_체육_언론
